,Init Bwd Win Bytes,Init Fwd Win Bytes,Flow Packets/s,Packet Length Variance,Flow Bytes/s,Flow IAT Mean,Idle Mean,Idle Max,Bwd IAT Min,Idle Min,Label
1731399,-1,-1,41.43188598,3564.3,3873.881339,32181.334,0.0,0,4,0,0
206433,-1,-1,32.7032507031199,3072.0,2975.99581398391,61156.0,0.0,0,0,0,0
955863,-1,-1,49.46699315,1470.0,3314.288541,26954.0,0.0,0,49,0,0
1258055,0,30016,36.19079789,13457.286,2310.179265,33157.6,0.0,0,0,0,0
723235,1047,256,0.127315066,232873.27,34.83340217,8415568.0,58800000.0,58900000,49,58600000,0
1489884,0,123,190.9763667,204.8,2673.669133,6981.6665,0.0,0,0,0,0
1609386,60,8192,40.56390062,269188.94,12974.2076,26706.834,0.0,0,48,0,0
167380,33304,72,46875.0,0.0,0.0,32.0,0.0,0,0,0,0
763434,292,8192,0.371424021,501476.03,103.3940822,2756444.0,9995504.0,10000000,189,9948571,0
218879,255,229,35087.7192982456,0.0,210526.315789474,38.0,0.0,0,48,0,0
158057,-1,-1,64.6120049105124,85.333336,3812.10828972023,30954.0,0.0,0,0,0,0
373840,-1,-1,23.8454338974766,3830.7,2229.54806941406,55915.668,0.0,0,4,0,0
1801077,42780,8192,0.679991208,10.8,2.039973623,1960809.6,0.0,0,0,0,0
1674792,-1,-1,164.2912885,3121.2,13307.59436,8115.6665,0.0,0,4,0,0
1511823,-1,342,6.134254289,0.0,0.0,244528.5,0.0,0,0,0,0
1598771,60,8192,36.86239575,291573.84,11931.12876,29594.092,0.0,0,54,0,0
1868326,-1,-1,20000.0,307.2,1000000.0,66.666664,0.0,0,3,0,0
1657436,-1,-1,261.6174499,4551.1113,25115.27519,4368.4287,0.0,0,3,0,0
858818,-1,677,666666.6667,0.0,0.0,3.0,0.0,0,0,0,0
1272406,-1,-1,0.046492455,5270.2,5.102546955,28700000.0,85700000.0,85700000,85900000,85700000,0
793531,31,29200,140.7685965,102857.36,26102.51976,8287.833,0.0,0,11,0,0
203468,-1,-1,45.1538617840291,85.333336,2664.07784525772,44293.0,0.0,0,0,0,0
591982,-1,-1,22099.44751,974.7,1381215.47,60.333332,0.0,0,1,0,0
1695518,-1,-1,106.7777155,1080.0,6940.551507,12487.0,0.0,0,3,0,0
1064875,256,229,0.192937347,8953460.0,160.8959658,5581724.5,69700000.0,69700000,1,69700000,0
1997379,340,29200,2.022752657,22755.355,147.660944,543813.4,5251794.0,5251794,3,5251794,0
1532652,292,29200,0.326861079,69109.18,41.40240333,3139914.2,10200000.0,10200000,2381,10000000,0
1834882,45,8192,15.72432841,559760.9,14380.36459,63660.812,58900000.0,58900000,1,58900000,0
1594399,60,8192,20.13007383,291573.84,6515.433895,54193.0,0.0,0,48,0,0
1008306,-1,-1,18691.58879,1267.5,1429906.542,71.333336,0.0,0,48,0,0
28108,-1,-1,65.2326358877346,2940.3,5512.15773251358,20439.666,0.0,0,3,0,0
827677,-1,-1,69.20774435,76.8,2837.517518,19265.666,0.0,0,48,0,0
598751,-1,-1,42.35762543,2700.0,4489.908296,47217.0,0.0,0,0,0,0
346501,-1,-1,22.0318911624577,2323.2,1652.39183718432,60518.332,0.0,0,4,0,0
416403,237,939,31250.0,0.0,0.0,64.0,0.0,0,0,0,0
873072,-1,-1,18018.01802,4915.2,1873873.874,74.0,0.0,0,49,0,0
255455,351,16424,1.34946453247351,355.9524,40.7088467296177,889241.6,0.0,0,0,0,0
1994474,-1,-1,43.06446751,936.3333,3897.334309,46442.0,0.0,0,0,0,0
176814,425,65535,3.21787116534957,444632.94,1847.4045888823,315620.16,7984916.5,9975699,2,5994134,0
910708,-1,-1,18.63602903,3000.0,1472.246294,71546.0,0.0,0,3,0,0
241403,-1,-1,18957.345971564,456.3,1203791.46919431,70.333336,0.0,0,3,0,0
121690,128,29200,7.56349668923059,877462.8,5542.53037386818,134912.22,0.0,0,1,0,0
804340,13140,8192,2.350856892,522876.5,1367.746623,442391.88,0.0,0,47,0,0
1669065,-1,-1,129.9714063,76.8,5328.827658,10258.667,0.0,0,3,0,0
109774,-1,33304,0.031220592153479,0.0,0.0,64060284.0,0.0,0,0,0,0
571115,-1,-1,83.51079377,0.0,4008.518101,23949.0,0.0,0,0,0,0
559244,42408,29200,0.727667123,0.0,0.0,1832339.6,0.0,0,0,0,0
1255815,-1,-1,6153.846154,261.33334,393846.1538,325.0,0.0,0,0,0,0
93693,-1,-1,125.431169645657,1190.7,9219.19096895578,10630.0,0.0,0,4,0,0
1759286,351,8192,138.6204816,225296.7,38406.02754,7664.8125,0.0,0,48,0,0
497960,-1,-1,15.23797914,2465.3333,1356.180143,131251.0,0.0,0,0,0,0
700493,65535,8192,0.694214968,0.0,0.0,1920634.6,0.0,0,0,0,0
1214551,253,118,32786.88525,0.0,196721.3115,61.0,0.0,0,0,0,0
450399,-1,-1,13468.0134680135,1116.3,1097643.0976431,99.0,0.0,0,187,0,0
267353,114,29200,0.593984072497874,926536.56,347.317121579699,1708304.9,10024194.0,10028348,54,9996394,0
294991,344,8192,0.260029414700744,26045.912,11.9873560177043,3978329.8,10005498.0,10015160,50816,9954702,0
1063835,180,283,14.90949934,0.0,89.45699603,100607.0,0.0,0,5421,0,0
1241128,390,332,0.258562303,1956.5588,9.712246498,4125375.8,58600000.0,58600000,69,58600000,0
793313,1011,8192,0.432245867,788030.1,195.2627478,2360712.2,9607748.0,10000000,189,5260737,0
1711030,-1,-1,97.10151964,6962.143,11749.28388,12358.2,0.0,0,4,0,0
476157,-1,-1,66.31299735,2764.8,5305.039788,20106.666,0.0,0,4,0,0
1942730,-1,-1,82.95657223,341.33334,5475.133767,24109.0,0.0,0,0,0,0
241101,351,8192,26.5702307135086,207183.05,6635.56551239991,39727.0,0.0,0,1,0,0
502492,-1,-1,26.99820462,85.333336,1619.892277,74079.0,0.0,0,0,0,0
796358,-1,-1,65.36374926,85.333336,4248.643702,30598.0,0.0,0,0,0,0
766994,-1,-1,19801.9802,3763.2,2019801.98,67.333336,0.0,0,49,0,0
1958923,939,256,86.07703895,0.0,0.0,23235.0,0.0,0,0,0,0
928957,-1,-1,63.96213442,874.8,5053.008619,20845.666,0.0,0,4,0,0
693104,28960,29200,0.704558157,0.0,0.0,1892439.0,0.0,0,0,0,0
713949,31,8192,126.5777006,102543.07,23398.79209,9217.0,0.0,0,4,0,0
418634,-1,-1,127.832284043335,307.2,6391.61420216676,10430.333,0.0,0,49,0,0
2019543,-1,-1,21.5689235,26508.0,4249.077929,92726.0,0.0,0,0,0,0
35239,-1,-1,24242.4242424242,76.8,1163636.36363636,55.0,0.0,0,15,0,0
174264,349,65535,97.113778502894,35652.25,9543.04730088438,11032.714,0.0,0,586,0,0
1785984,-1,-1,26143.79085,76.8,1490196.078,51.0,0.0,0,4,0,0
206869,-1,-1,19230.7692307692,13104.3,2740384.61538462,69.333336,0.0,0,4,0,0
1644427,-1,-1,11.95057243,9861.333,1553.574416,167356.0,0.0,0,0,0,0
1888550,-1,563,38461.53846,0.0,0.0,52.0,0.0,0,0,0,0
486680,-1,332,29850.74627,705.3333,686567.1642,67.0,0.0,0,0,0,0
975718,939,257,54.08036342,0.0,0.0,36982.0,0.0,0,0,0,0
1029372,-1,-1,55.09388917,915.2381,3121.987053,21781.0,0.0,0,3,0,0
1627762,-1,32627,1.981810939,0.0,11.89086564,1009178.0,0.0,0,0,0,0
551072,-1,-1,20100.50251,4915.2,2211055.276,66.333336,0.0,0,3,0,0
1667335,1129,8192,0.845635998,765816.7,409.1186959,1244781.0,9998004.0,10000000,197,9995277,0
2009891,-1,-1,18.34929722,6256.3335,2082.645235,108996.0,0.0,0,0,0,0
165613,-1,-1,32.644000848744,2523.0,2758.41807171887,61267.0,0.0,0,0,0,0
1608227,60,8192,20.41319019,243176.52,5674.866872,52487.07,0.0,0,48,0,0
242075,31,29200,2.36597701394182,185728.0,553.638621262385,483038.16,0.0,0,4573,0,0
1543901,-1,-1,25.42879302,85.333336,1627.442753,78651.0,0.0,0,0,0,0
747247,-1,-1,33.45264778,0.0,1605.727093,59786.0,0.0,0,0,0,0
1554444,-1,-1,23.76284679,14283.0,3528.782748,84165.0,0.0,0,0,0,0
1781685,-1,-1,81.42990921,76.8,3175.766459,16374.0,0.0,0,3,0,0
26060,-1,-1,56.0781729731245,20908.8,9252.89854056555,23776.334,0.0,0,3,0,0
612212,0,5192,6.969264383,29065.285,556.3796065,172184.6,0.0,0,1,0,0
1897362,-1,-1,72.17090069,11407.5,9201.789838,18474.666,0.0,0,49,0,0
174471,32832,404,11428.5714285714,0.0,0.0,175.0,0.0,0,0,0,0
904101,255,119,19801.9802,0.0,0.0,101.0,0.0,0,0,0,0
822193,-1,258,20408.16327,0.0,0.0,98.0,0.0,0,0,0,0
1967237,253,1047,40000.0,0.0,240000.0,50.0,0.0,0,0,0,0
1984609,17520,8192,19.6822719,36731.145,2181.920427,59275.0,0.0,0,4,0,0
1272593,-1,-1,40.18969536,261.33334,3054.416848,49764.0,0.0,0,0,0,0
104921,-1,-1,9.91505278526227,3000.0,793.204222820981,134475.67,0.0,0,4,0,0
82658,-1,255,58.021467943139,0.0,348.128807658834,34470.0,0.0,0,0,0,0
1906293,-1,-1,18957.34597,3244.8,1535545.024,70.333336,0.0,0,48,0,0
414965,-1,-1,21052.6315789474,4915.2,2273684.21052632,63.333332,0.0,0,4,0,0
1241118,-1,587,21052.63158,0.0,0.0,95.0,0.0,0,0,0,0
353080,-1,-1,128.353228083686,76.8,6546.014632268,10388.0,0.0,0,3,0,0
1694223,-1,-1,129.6218283,307.2,5832.982274,10286.333,0.0,0,3,0,0
2003070,0,972,105263.1579,10.8,473684.2105,12.666667,0.0,0,0,0,0
1288047,252,0,9.318101344,49665.332,1854.302167,214636.0,0.0,0,0,0,0
982014,-1,-1,17021.2766,974.7,1063829.787,78.333336,0.0,0,4,0,0
39071,30,29200,2.18186607468012,22118.629,154.912491302288,504155.6,0.0,0,338,0,0
1632365,110,29200,0.296330071,6312.4736,8.182002505,3573122.0,10000000.0,10000000,2259,9996820,0
601433,-1,4168,1000000.0,0.0,0.0,2.0,0.0,0,0,0,0
429445,-1,-1,128.67114871168,504.3,8170.61794319169,10362.333,0.0,0,48,0,0
866558,-1,260,2429.149798,0.0,0.0,617.5,0.0,0,0,0,0
1418920,357,331,1.448813422,470.2381,40.80824471,828264.0,0.0,0,0,0,0
1503790,343,8192,91.51691986,329078.88,24397.33417,11609.875,0.0,0,4,0,0
1841838,29200,8192,0.669861796,10.8,2.009585387,1990460.4,0.0,0,0,0,0
1779600,-1,-1,23809.52381,1228.8,1738095.238,56.0,0.0,0,3,0,0
496372,29200,8192,0.775094658,10.8,2.325283975,1720220.0,0.0,0,0,0,0
1270065,-1,-1,40.81965875,341.33334,3877.867581,48996.0,0.0,0,0,0,0
841642,175,29200,22.0083417,100100.3,3165.980472,46573.25,0.0,0,47,0,0
819241,-1,-1,40.55725671,261.33334,2757.893456,49313.0,0.0,0,0,0,0
332468,-1,-1,16528.9256198347,9398.7,2024793.38842975,80.666664,0.0,0,47,0,0
691717,180,255,1.205281059,470.2381,33.94874984,995618.4,0.0,0,0,0,0
151123,245,8192,50.3494458457224,63228.49,6477.83555319212,20137.041,0.0,0,1,0,0
43054,118,8192,0.374335361716283,263825.84,135.790152462582,2787549.2,30179128.0,44971401,48,15386853,0
2022579,-1,-1,23.48520432,8772.3,2994.363551,56773.332,0.0,0,48,0,0
635910,-1,-1,65.24221171,2187.0,6361.115642,30655.0,0.0,0,0,0,0
795884,126,1060,1.158626379,395.2857,30.51049464,1035709.2,5141305.0,5141305,0,5141305,0
1749010,-1,-1,15686.27451,2822.7,1341176.471,85.0,0.0,0,3,0,0
1663712,333,357,39215.68627,0.0,0.0,51.0,0.0,0,0,0,0
995008,33304,122,4115.226337,0.0,0.0,486.0,0.0,0,0,0,0
451635,-1,-1,22988.5057471264,76.8,850574.712643678,58.0,0.0,0,48,0,0
630673,-1,-1,38834.95146,0.0,1864077.67,34.333332,0.0,0,4,0,0
