Init Bwd Win Bytes,Init Fwd Win Bytes,Flow Packets/s,Packet Length Variance,Flow Bytes/s,Flow IAT Mean,Idle Mean,Idle Max,Bwd IAT Min,Idle Min,Label
0,29200,2541.296061,12,7623.888183,787,0,0,0,0,5
247,29200,4.383657001467371,35944.473,393.1230514822885,232507.08899852948,0,0,3,0,1
235,251,0.13030793963265583,4683916.7173558865,121.88503535324597,8313678.553208895,98520351.11773156,98520351,83,98520351,4
235,0,0.140771606,2020495.5,120.5909906,7650144,99300000,99300000,14,99300000,4
-1,-1,20239.501447312607,11112.13540364474,2734579.039542598,66.51830038812207,0,0,4,0,0
28960,29200,0.746423512,0,0,1786296,0,0,0,0,6
227,29200,2.669388496416881,163.00413169321106,33.06520022412026,390905.36564114306,0,0,2,0,1
227,29200,2.943711453,162.02667,36.42842924,354477.1,0,0,3,0,1
235,251,0.144176363,3284443.5,144.11629,7566490.5,83100000,83100000,77,83100000,4
247,29200,4.624457247,35419.69,407.0378758,220321.62,0,0,3,0,1
0,229,13274.33628,65.333336,61946.90265,113,0,0,0,0,1
0,8192,6.01577499460982,10.285714,18.047324983842827,199475.54796455064,0,0,497032,0,1
154,8192,0.377705508,294747.78,97.43123407,2707737.2,9962724,10000000,246,9800585,0
28960,29200,0.7145683697268848,0,0,1865928.3972756746,0,0,0,0,6
13,119,103.6347831500153,41.57155855112221,2117.2204707667615,16052.572293600959,0,0,2,0,0
0,229,11764.70588,65.333336,54901.96078,127.5,0,0,0,0,1
247,29200,5.174164818078736,35796.32494512042,461.6088737308574,196965.05666579367,0,0,1,0,1
235,29200,299.4572338,8520581,446603.032,3816.4285,0,0,186,0,4
229,8192,7.17280074,4544874,9271.243445,156842.5,0,0,3,0,3
28960,29200,0.7278087605274915,0,0,1831983.1499367391,0,0,0,0,2
0,254,255.93898245852836,375.9248404436727,4543.335429742189,5013.485327360241,0,0,0,0,0
-1,256,0.409211058638926,0,2.4552663532754666,3258366.2014582474,9774981.451971566,9774981,0,9774981,3
28960,29200,0.679668511537724,0,0,1961740.7613604139,0,0,0,0,2
235,92,0.1322188490093681,2128808.449437015,121.94778785138173,8193488.204651532,98333816.08101507,98333816,15,98333816,4
-1,256,0.9759238924607839,0,5.8555433518536555,1366246.4396007813,0,0,0,0,3
229,8192,45.285225161736584,2706820.5,58503.47921345029,25065.169608345932,0,0,14,0,3
28960,29200,0.762585278,0,0,1748438.4,0,0,0,0,2
235,0,0.141153034,1892806,140.7648634,7728555.5,84900000,84900000,47,84900000,4
-1,720,8000,0,0,250,0,0,0,0,0
247,29200,4.194909422,35944.473,376.196311,242968.48,0,0,18,0,1
28960,29200,0.690012194,0,0,1932333,0,0,0,0,2
28960,29200,0.7629797320187074,0,0,1747534.4741519925,0,0,0,0,6
237,8192,85.75394318237022,5783.836883207169,4197.788477886097,13607.877421721176,0,0,620,0,1
28960,29200,0.772073484,0,0,1726951.4,0,0,0,0,6
-1,296,0.025040498,0,0,79900000,79900000,79900000,0,79900000,4
-1,256,0.7371527383329741,0,4.4229164319978445,1695750.3023628786,6781227.481987422,6781227,0,6781227,3
28960,29200,0.738317419,0,0,1805908,0,0,0,0,2
29200,1024,5504.587156,4,18348.62385,272.5,0,0,0,0,5
28960,29200,0.762151057386743,0,0,1749434.5396648643,0,0,0,0,6
227,29200,2.651713067,151.62666,31.15762854,393511,0,0,47,0,1
227,29200,2.671557398,183.09,34.95287595,390588,0,0,3,0,1
1174,29200,9.301496965,130168.02,3519.419829,107860.914,0,0,3,0,2
60,237,84.4665934622857,0,506.799560773714,23678,0,0,0,0,0
0,229,11952.19124,65.333336,55776.89243,125.5,0,0,0,0,1
235,251,0.150584713,2491842.5,120.1565619,7115122,99500000,99500000,46,99500000,4
227,29200,2.6605829880834966,158.2392870942447,32.383395380455305,392199.1443653214,0,0,3,0,1
-1,256,0.489728436,0,2.938370615,2552435,10200000,10200000,0,10200000,3
227,29200,19.76219492,3633941,25499.81885,56926.875,0,0,14,0,5
227,29200,2.722404882,158.89333,33.12259273,383292.8,0,0,4,0,1
235,251,0.141781222,6820269.5,120.8988731,7595668,98700000,98700000,72,98700000,4
227,29200,2.6044844028283394,160.36739792138562,31.892833291401328,400646.903423119,0,0,3,0,1
-1,146,29011.68647253043,538.2570897603529,739055.8095321546,77.3180159432496,0,0,0,0,0
980,8192,0.345618246,272345.97,73.33690022,3038034,9377486,10000000,852,6282792,0
237,8192,110.27243595986998,5754.849639093234,5387.412152754803,10579.860870305054,0,0,632,0,1
-1,256,0.541197759,0,3.247186556,2309691.8,9237775,9237775,0,9237775,3
235,166,0.13206711399850507,3425037.0660499064,121.35796153607436,8202905.875989712,98421250.5875502,98421250,48,98421250,4
235,0,0.14350404,1698723.2,109.8481217,7403973,58800000,101000000,16,16000000,4
227,29200,2.51587992,165.66667,31.44849899,414756.78,0,0,3,0,1
235,259,0.13717945217751595,4327716.713123261,119.9838611545568,7877188.461681153,99365020.10923982,99365020,145,99365020,4
28960,29200,0.689255642,0,0,1934454,0,0,0,0,2
235,251,0.1517681,3885800.8,121.0198828,7059643,98700000,98700000,49,98700000,4
0,229,14285.71429,65.333336,66666.66667,105,0,0,0,0,1
28960,29200,5730.659026,0,0,232.66667,0,0,0,0,5
247,29200,4.904365792,35944.473,439.8198229,207821.11,0,0,48,0,1
235,0,0.461257937,2060276,361.4244222,2312516.8,34100000,34100000,49,34100000,4
-1,256,0.607550541,0,3.645303245,2057442,8225784,8225784,0,8225784,3
28960,29200,0.679467148,0,0,1962322,0,0,0,0,2
227,29200,212.2391227,240.14285,1450.300672,5654,0,0,26108,0,5
28960,29200,0.79451183,0,0,1678179.4,0,0,0,0,6
16360,119,22727.27273,0,136363.6364,88,0,0,0,0,0
235,0,0.1204981142858167,2243176.994993268,120.07767328842358,9053333.075076364,99380592.54001176,99380592,14,99380592,4
229,256,0.147809536,2057995.9,123.0725544,7285883.5,91400000,91400000,16,91400000,3
247,29200,4.436638193,35944.473,397.8743648,229730.42,0,0,4,0,1
28960,29200,0.703334792,0,0,1895730.6,0,0,0,0,2
0,123,190.9763667,204.8,2673.669133,6981.6665,0,0,0,0,0
-1,-1,65.24307181527867,2191.0993403590737,6359.835716374839,30654.5970139986,0,0,0,0,0
29200,1024,3921.568627,4,13071.89542,382.5,0,0,0,0,5
235,70,0.11498133087888615,2617177.1617774973,121.84553505921308,9560630.911447227,97777304.86655337,97777304,46,97777304,4
0,29200,10309.27835,12,30927.83505,194,0,0,0,0,5
28960,29200,0.7702632366951419,0,0,1731010.0381300012,0,0,0,0,6
0,29200,0.108803394,10.8,0.326410182,12300000,36800000,36800000,36800000,36800000,5
28960,29200,0.735965145,0,0,1811680,0,0,0,0,2
229,8192,4.867790802,4572451.5,6291.890044,231111,0,0,46,0,3
141,31,12475.68285993068,173.14675841879824,165386.67554328393,121.0607303418834,0,0,101,0,0
235,274,0.12938425,5027861.5,140.6877286,8501808,84900000,84900000,85,84900000,4
-1,-1,19889.274478127743,364.4303721906616,958102.6551776757,67.40128079460385,0,0,9,0,0
28960,29200,0.694221835,0,0,1920615.6,0,0,0,0,2
28960,29200,0.713200376,0,0,1869507.4,0,0,0,0,2
247,29200,4.238437183,37608.96,402.9058386,240751.05,0,0,3,0,1
28960,29200,0.773048439,0,0,1724773.4,0,0,0,0,6
229,8192,46.54010393332506,9696701,77303.11263231515,25202.94531206038,0,0,670,0,3
235,158,0.12039533854807863,2248752.6587913446,119.49677150065442,9061086.045076815,99510320.71362413,99510320,43,99510320,4
29,8192,1.8272207093485433,8.571428,3.654441418460216,656816.4821098606,0,0,1236863,0,0
0,229,12448.13278,65.333336,58091.28631,120.5,0,0,0,0,1
0,64240,19230.76923,12,57692.30769,104,0,0,0,0,5
235,269,0.14031685607192432,2029254.7515678706,119.77962766656658,7674943.008390329,99721310.47040251,99721310,36,99721310,4
235,29200,1.087469979,4753851,1006.913549,996196.06,6952105,6952105,160,6952105,4
235,0,0.142952133,2939636.5,142.4160623,7631289.5,83800000,83800000,50,83800000,4
28960,29200,0.6740777224708756,0,0,1978012.104448313,0,0,0,0,6
235,29200,0.08539250886877829,23360.395423829694,4.597513249180018,13169180.901931982,103345904.50965992,103345904,1229,103345904,4
0,29200,5000,12,15000,400,0,0,0,0,5
-1,-1,64.84768899,1512.3,4571.762074,20561,0,0,3,0,0
229,8192,12.75475633,7025604.5,18547.01005,89602.43,0,0,4,0,3
-1,1439,3912.942222851284,0,0,586.3422614784731,0,0,0,0,6
-1,-1,14.328443751903,720.3,838.213959486325,93055,0,0,4,0,0
235,29200,0.620578918,3340451,738.7371442,1790442.9,16000000,16000000,44,16000000,4
28960,29200,0.706608289,0,0,1886948.4,0,0,0,0,6
28960,29200,0.713547575,0,0,1868597.6,0,0,0,0,6
229,256,0.183309108,3150292.5,164.3718669,5909872,67700000,67700000,198,67700000,3
28960,29200,0.6954013228367395,0,0,1917358.2412461664,0,0,0,0,6
229,256,0.157268889,7317264.5,141.0943885,6888415,80700000,80700000,4,80700000,3
28960,29200,0.7133072652286148,0,0,1869227.2711797496,0,0,0,0,6
-1,-1,16736.40167,1387.2,1171548.117,79.666664,0,0,3,0,0
0,29200,0.108720894,10.8,0.326162683,12300000,36800000,36800000,36800000,36800000,5
229,256,0.169452459,2057995.9,141.0933796,6355311,80600000,80600000,16,80600000,3
235,274,0.119663851,2251293,118.5769044,9116446,100000000,100000000,15,100000000,4
28960,29200,0.7034670359794913,0,0,1895374.2962723481,0,0,0,0,2
28960,29200,4362.050164,0,0,305.66666,0,0,0,0,5
247,29200,4.059670415,35944.473,364.0681789,251062.44,0,0,3,0,1
0,229,12244.89796,65.333336,57142.85714,122.5,0,0,0,0,1
28960,29200,0.716798734,0,0,1860122.4,0,0,0,0,2
28960,29200,0.738433968528911,0,0,1805623.0612842825,0,0,0,0,6
28960,29200,3466.204506,0,0,384.66666,0,0,0,0,5
28960,29200,0.7817572655969349,0,0,1705559.1941914007,0,0,0,0,6
28960,29200,0.679810693,0,0,1961330.4,0,0,0,0,2
236,29200,0.902820207,48902,109.01554,1265874.6,0,0,3203,0,2
0,29200,33333.33333,12,100000,60,0,0,0,0,5
229,8192,8.581351059605199,9696701,14253.624108400643,144185.75737641915,0,0,190,0,3
28960,29200,0.677799064,0,0,1967151.4,0,0,0,0,2
28960,29200,8350.730689,0,0,159.66667,0,0,0,0,5
-1,256,1.658539822,0,9.951238929,753675,0,0,0,0,3
229,8192,325.97245979189546,9696701,541440.2557130374,3586.079493273472,0,0,187,0,3
315,25271,37679.30168923262,0,0,53.08091928305125,0,0,0,0,0
256,229,0.205990552,1546638.2,141.3943382,5158003.5,41000000,72200000,1,9887607,0
28960,29200,0.777466985,0,0,1714971,0,0,0,0,2
235,0,0.11691264342818043,6206368.335727388,122.03504640887927,9372670.20112743,99500000,99500000,117,99500000,4
247,29200,4.126521966,35944.473,370.0633756,246995.11,0,0,4,0,1
28960,29200,0.716611117,0,0,1860609.4,0,0,0,0,2
28960,29200,0.767208732,0,0,1737901.6,0,0,0,0,2
-1,-1,55.58103019,940.8,3334.861812,23989,0,0,47,0,0
227,29200,1.498068241,2702072.5,1933.007387,750967.1,6006343,6006343,16,6006343,5
247,29200,4.522723206074896,36145.82031972832,408.50829407859516,225388.95584651123,0,0,3,0,1
236,29200,1.0587953916276414,48902,127.84954354966794,1079393.8044672345,0,0,5273,0,2
28960,29200,0.670125856,0,0,1989676,0,0,0,0,2
235,274,0.176140619,3327257.8,140.6776409,6082802.5,85000000,85000000,71,85000000,4
28960,29200,0.731408242,0,0,1822967.4,0,0,0,0,6
0,29200,5763.688761,12,17291.06628,347,0,0,0,0,5
29200,1024,5434.782609,4,18115.94203,276,0,0,0,0,5
229,8192,7.225555319433604,4548489.272790538,9339.43166979412,155750.23206207855,0,0,2,0,3
235,251,0.16353162863170304,2627902.988120111,139.65236777884687,6585412.636676684,85458122.9475108,85458122,45,85458122,4
0,498,14.361985998409036,1823.3571350399895,1117.2779062013049,96182.56536286643,0,0,260055,0,0
2691,6307,19.64103667238617,8186.352814651257,1349.8425033822957,68452.05487225608,0,0,0,0,0
247,29200,4.095810083,34909.06,353.9524605,248673.28,0,0,3,0,1
0,29200,0.108778155,10.8,0.326334465,12300000,36800000,36800000,36800000,36800000,5
28960,29200,3.000362044,9713.611,311.704279,374954.75,0,0,0,0,4
-1,256,5.354304045367911,0,32.12582427255083,246798.0656778242,0,0,0,0,3
28960,29200,5665.72238,0,0,235.33333,0,0,0,0,5
28960,29200,0.674970719,0,0,1975394.4,0,0,0,0,2
28960,29200,4343.10532,0,0,307,0,0,0,0,5
-1,-1,21.27297481,0,1021.102791,94016,0,0,0,0,0
29200,8192,0.7552383838123993,4.874979862760496,1.022520774955114,1765447.0752526266,0,0,0,0,0
227,29200,461.7871161,240.14285,3155.545294,2598.6,0,0,11414,0,5
2076,706,0.21290067,32033.691,51.0251939,5124028.5,56400000,56400000,3,56400000,0
235,251,0.140844851,2944661,140.2227858,7745466.5,85100000,85100000,47,85100000,4
236,29200,0.909496772,48902,109.8217352,1256581.9,0,0,3191,0,2
0,29200,5813.953488,12,17441.86047,344,0,0,0,0,5
247,29200,4.213762083,35944.473,377.8870034,241881.42,0,0,3,0,1
235,251,0.185143371,2894554,138.5219563,5761301,85400000,85400000,2,85400000,4
28960,29200,0.7967222884170251,0,0,1673523.530645832,0,0,0,0,6
28960,29200,0.7702659760209876,0,0,1731003.7637635656,0,0,0,0,6
28960,29200,0.720283440003375,0,0,1851123.0656596818,0,0,0,0,6
28960,29200,0.691604543,0,0,1927884,0,0,0,0,2
-1,284,0.052539945,0,0,38100000,38100000,38100000,0,38100000,4
28960,29200,0.7975359587339161,0,0,1671816.0189862342,0,0,0,0,2
235,0,0.123080787,5730160,122.8859093,8863358,97300000,97300000,49,97300000,4
237,8192,66.63548385199444,5687.549107645164,3240.8595283161712,17510.523198389095,0,0,585,0,1
235,296,0.172696207,4726810.5,137.6619031,6204123.5,85900000,85900000,2,85900000,4
235,0,0.140611774,2620345,120.3235035,7658840,99500000,99500000,46,99500000,4
28960,29200,0.6865764029275686,0,0,1942003.9300282272,0,0,0,0,6
28960,29200,0.741042348246047,0,0,1799267.5114386647,0,0,0,0,6
-1,-1,32.7032507031199,3072,2975.99581398391,61156,0,0,0,0,0
247,29200,4.476410738331362,35944.473,401.4411365434952,227689.35860887705,0,0,3,0,1
229,8192,9.8584653,4572451.5,12742.61409,114115.125,0,0,3,0,3
308,33,90909.09091,0,0,22,0,0,0,0,0
-1,707,7849.052284688579,0,0,259.9577772450302,0,0,0,0,0
28960,29200,0.768424662,0,0,1735151.6,0,0,0,0,2
227,29200,2.7967216080118775,162.88143224920773,34.67633485186009,373107.70888917457,0,0,3,0,1
0,29200,0.216919587,10.8,0.65075876,6146671,18400000,18400000,18400000,18400000,5
-1,-1,39.14813655,1083,2681.647354,51088,0,0,0,0,0
0,29200,0.043461882,10.8,0.130385647,30700000,92000000,92000000,92000000,92000000,5
-1,1439,500000,0,0,4,0,0,0,0,6
28960,29200,0.6946364656456623,0,0,1919469.2403285895,0,0,0,0,2
235,274,0.13072593,4712943.5,119.6443937,8287058,99300000,99300000,65,99300000,4
-1,-1,11080.33241,662.7,714681.4404,120.333336,0,0,1,0,0
235,251,0.151956832,1933848.9,121.0285512,7050874.5,98600000,98600000,34,98600000,4
229,8192,11.269112693011078,7025604.5,16386.6984912223,101415.95722005736,0,0,77,0,3
0,29200,0.1086888,10.8,0.3260664,12300000,36800000,36800000,36800000,36800000,5
6494,29200,0.492350889,228369.05,144.6925483,2080610.1,9783299,10000000,5,9037126,0
229,8192,73.47318846471353,11200000,106839.20016221995,15558.202781299167,0,0,5,0,3
-1,255,4293.733607214322,6.953771458499915,6136.764599450899,308.68796602530756,0,0,0,0,4
235,1,0.1297937062693988,11084804.490094416,140.47454010040965,8474992.815352406,84605182.79444832,84605182,185,84605182,4
235,52,0.12195048833856603,3922227.7615236947,121.31440062988007,8945510.873223767,98300000,98300000,3,98300000,4
28960,29200,0.7728244546943869,0,0,1725273.1871834672,0,0,0,0,6
28960,29200,0.728271121,0,0,1830820,0,0,0,0,2
227,29200,2.7119230160835692,162.7885339570453,31.512044483486623,389798.8082742804,0,0,3,0,1
229,8192,20.49647589,7025604.5,29804.438,55758.715,0,0,4,0,3
-1,71,21.290623122132082,0,766.6847299927343,93938.2296977644,0,0,0,0,0
235,0,0.1322302119949967,3425075.7535860967,121.28665524315323,8192782.278218684,98300000,98300000,13,98300000,4
0,29200,11627.90698,12,34883.72093,172,0,0,0,0,5
235,251,0.14212593038373766,5325939.526941401,121.02996901553085,7577245.480992675,98499687.4251846,98499687,185,98499687,4
-1,256,1.008871284959768,0,6.053227707222062,1321690.2267645546,0,0,0,0,3
-1,256,0.3948289882668312,0,2.3689739301411867,3376999.33632411,10100000,10100000,0,10100000,3
-1,-1,128.19812741007777,12342.751309559606,17425.494811057306,10400.648043463354,0,0,42,0,0
229,256,0.12871362727120816,4731941.5,115.47592583541129,8416624.890268316,95845814.5806919,95845814,114,95845814,3
28960,29200,0.698516822,0,0,1908806.4,0,0,0,0,2
-1,256,0.467764424,0,2.806586544,2850437.8,8547314,8547314,0,8547314,3
-1,29200,0.99907153,0,0,1501394,0,0,0,0,4
235,251,0.175438248,3329845.8,139.660541,6107155,85300000,85300000,45,85300000,4
235,29200,1.562535042,2763990.2,1110.502846,679984.75,5877101,5877101,48,5877101,4
0,118,351.469141009419,15711.9,23829.6077604386,3556.5,0,0,3,0,0
28960,29200,0.7997742274814629,0,0,1667137.1034732969,0,0,0,0,6
166,45564,35.53225110252484,167953.0701750114,8645.129341957796,54587.726991334566,0,0,4,0,0
28960,29200,0.7053754766119277,0,0,1890246.2651726624,0,0,0,0,6
28960,29200,0.705650941,0,0,1889508.4,0,0,0,0,2
229,8192,9.927726154,9696701,16489.95314,117516,0,0,191,0,3
-1,-1,37.07799416713027,6296.054757209178,4093.7002156876138,53962.27701610422,0,0,0,0,0
247,29200,4.226920607,36483.914,386.3568009,241217.64,0,0,4,0,1
243,29200,2.593066141,1233753.4,1551.251952,417780.84,0,0,50,0,6
29200,1024,3759.398496,4,12531.32832,399,0,0,0,0,5
235,251,0.16481043,2027755.4,140.100638,6534314,84800000,84800000,22,84800000,4
229,256,0.159109268,4731941.5,142.7454919,6808738,78900000,78900000,12,78900000,3
235,229,0.142880507,16.333334,0.33338785,10500000,0,0,0,0,4
0,1024,9174.311927,5.3333335,36697.24771,218,0,0,0,0,5
1149,29200,4.598728192,592795.6,3469.486595,218159.73,0,0,4,0,6
28960,29200,0.7311151975008607,0,0,1823698.081040258,0,0,0,0,6
-1,29200,0.110891871,0,0,10500000,18700000,32100000,0,8015891,4
0,1024,17543.85965,5.3333335,70175.4386,114,0,0,0,0,5
247,29200,4.668161256098565,35404.03791279865,410.6562240846736,218256.68161074465,0,0,3,0,1
235,250,0.13013141066008188,5500468.990765208,142.04725339008712,8453010.393059168,84366195.31903522,84366195,81,84366195,4
235,0,0.153509965,4705311.5,141.3708695,7057088,83600000,83600000,86,83600000,4
0,64240,48780.4878,12,146341.4634,41,0,0,0,0,5
255,474,27313.410974628794,0,0,73.29005420085548,0,0,0,0,0
235,251,0.110904097,6559793.5,119.9982328,9918479,99000000,99000000,45,99000000,4
235,0,384.7337642,6,1846.722068,3249,0,0,0,0,4
-1,-1,0.060621534130707526,1656.458618438379,4.048094128274287,21973070.450585935,65925802.90906807,65925802,65972507,65925802,0
28960,29200,0.7193810025162468,0,0,1853445.4299537546,0,0,0,0,6
28960,29200,0.711057766,0,0,1875140.6,0,0,0,0,2
28960,29200,0.697814306,0,0,1910728,0,0,0,0,2
235,0,249.8542517,9,999.4170067,6003.5,0,0,0,0,4
28960,29200,0.76175981,0,0,1750333,0,0,0,0,6
227,29200,2.642167026,165.54,32.91699753,394932.75,0,0,3,0,1
28960,29200,6153.846154,0,0,216.66667,0,0,0,0,5
247,29200,4.191146753777088,35944.473,375.85887779823435,243186.63244546193,0,0,16,0,1
28960,29200,3.275920104,0,0,407010.34,0,0,0,0,2
235,0,0.163796237,1964491.6,147.8378037,6574773,84900000,84900000,16,84900000,4
28960,29200,0.734645361,0,0,1814934.6,0,0,0,0,6
0,229,13886.520249646906,65.333336,64803.76115575905,108.01850381735774,0,0,0,0,1
237,8192,107.33794146770973,5813.587771182198,5264.585515190085,10869.476478668243,0,0,589,0,1
28960,29200,0.687643696,0,0,1938988.6,0,0,0,0,2
29200,1024,4769.475358,4,15898.25119,314.5,0,0,0,0,5
0,1024,0.041042224,7.2,0.143647785,32500000,97500000,97500000,97500000,97500000,5
227,29200,2.58399769,155.67667,31.00797228,403823.22,0,0,3,0,1
-1,256,2.3602655527574194,0,14.161593314544517,529601.9190148324,0,0,0,0,3
0,229,14150.9434,65.333336,66037.73585,106,0,0,0,0,1
28960,29200,0.73825351,0,0,1806064.4,0,0,0,0,2
227,29200,469.4835681,240.14285,3208.137715,2556,0,0,10916,0,5
0,229,13636.36364,65.333336,63636.36364,110,0,0,0,0,1
229,256,0.181564965,2380238.8,151.178771,5931337.5,38500000,70300000,188,6811127,3
28960,29200,0.788188211,0,0,1691643.4,0,0,0,0,6
-1,-1,22988.50575,76.8,1103448.276,58,0,0,50,0,0
28960,29200,0.764897917,0,0,1743152,0,0,0,0,6
247,29200,3.9709309684534917,36185.06680017021,359.16572380427476,256715.3735420436,0,0,2,0,1
227,29200,2.5631912982451466,161.18835987583438,31.648442548529722,407101.2339496796,0,0,1,0,1
28960,29200,0.721832212,0,0,1847151.4,0,0,0,0,2
235,200,0.13054608492430228,2066620.7058733564,120.00621289681703,8298488.518543932,99459485.20432138,99459485,40,99459485,4
227,29200,2.693626576,157.07333,32.66022224,387387.88,0,0,3,0,1
28960,29200,0.750568954349002,0,0,1776430.167144562,0,0,0,0,6
-1,256,0.439911499,0,2.639468992,3030912.8,9091743,9091743,0,9091743,3
7,40,15648.912384703746,121.25330126591525,185752.03587624925,87.25066025318306,0,0,0,0,0
247,29200,4.049609705,35944.473,363.1659421,251686.17,0,0,4,0,1
-1,-1,21978.02198,3121.2,1780219.78,60.666668,0,0,48,0,0
28960,29200,0.748501874,0,0,1781336,0,0,0,0,6
-1,256,1.554023892,0,9.324143354,857987.7,0,0,0,0,3
235,237,25641.02564,0,0,78,0,0,0,0,2
28960,29200,0.7788252331203793,0,0,1711980.2040923934,0,0,0,0,6
28960,29200,0.6694163079572747,0,0,1991785.1165747312,0,0,0,0,6
28960,29200,0.743192726,0,0,1794061.4,0,0,0,0,6
28960,29200,0.680794051,0,0,1958497.4,0,0,0,0,2
28960,29200,0.7950207194465295,0,0,1677105.1572219552,0,0,0,0,6
0,229,13934.466035055786,65.333336,65027.508167704356,107.64723287977095,0,0,0,0,1
3879,29200,3.7320021227055094,217246.21441378936,1201.4725083414571,281581.8756827684,0,0,169,0,0
28960,29200,0.702533212,0,0,1897893.6,0,0,0,0,2
235,0,0.13235180899965812,2776636.956010286,121.6766837802045,8185255.215074901,98175128.57274124,98175128,12,98175128,4
28960,29200,0.753120933,0,0,1770410.6,0,0,0,0,2
28960,29200,0.7182532392457778,0,0,1856355.4103364262,0,0,0,0,6
237,8192,106.88330184475907,5789.889465039024,5234.075721246172,10915.720809737428,0,0,581,0,1
235,274,0.139989079,2028997.9,119.5406746,7692908,99900000,99900000,15,99900000,4
28960,29200,0.773108204,0,0,1724640,0,0,0,0,6
229,8192,6.226744838,2706820.5,8044.26247,180672.25,0,0,17,0,3
29200,1024,5136.986301,4,17123.28767,292,0,0,0,0,5
28960,29200,0.697467165,0,0,1911679,0,0,0,0,2
29200,1024,6711.409396,4,22371.36465,223.5,0,0,0,0,5
-1,256,0.755584335,0,4.53350601,1764638.6,5293227,5293227,0,5293227,3
29200,1024,6507.592191,4,21691.97397,230.5,0,0,0,0,5
0,29200,0.108733192,10.8,0.326199575,12300000,36800000,36800000,36800000,36800000,5
-1,-1,22133.981868025778,2960.0543831812724,1776632.702583071,60.26928209144567,0,0,44,0,0
-1,256,0.493595792,0,2.961574752,2532436.5,10100000,10100000,0,10100000,3
29200,1024,6211.180124,4,20703.93375,241.5,0,0,0,0,5
227,29200,1.498077966,3633941,1933.019935,750962.25,6006317,6006317,44,6006317,5
28960,29200,0.6674060510017511,0,0,1997784.3968534279,0,0,0,0,2
28960,29200,0.686403513,0,0,1942492,0,0,0,0,2
235,0,0.12211953719600233,2945697.348095692,121.30982568395586,8933126.0141658,98218143.54350898,98218143,41,98218143,4
-1,256,0.397429703,0,2.384578217,3354891,10100000,10100000,0,10100000,3
-1,256,1.6817463762595386,0,10.090478257200008,765639.0887223907,0,0,0,0,3
-1,256,0.948428984,0,5.690573906,1317969,5266869,5266869,0,5266869,3
-1,-1,22988.50575,0,528735.6322,58,0,0,2,0,0
28960,29200,7490.636704,0,0,178,0,0,0,0,5
28960,29200,7619.047619,0,0,175,0,0,0,0,5
